rank,Freq
1016,530921
1017,530741
1018,527598
1019,527194
1020,524986
1021,524853
1022,524179
1023,524131
1024,523653
1025,523581
1026,522331
1027,521419
1028,521090
1029,520905
1030,520650
1031,520419
1032,519899
1033,518190
1034,517889
1035,517687
1036,515422
1037,514025
1038,513820
1039,513330
1040,513163
1041,512852
1042,512822
1043,512022
1044,511770
1045,511745
1046,510777
1047,510681
1048,510611
1049,510086
1050,509898
1051,509717
1052,508968
1053,508796
1054,508535
1055,508021
1056,507408
1057,507265
1058,506331
1059,505504
1060,505485
1061,505426
1062,504795
1063,504342
1064,504174
1065,503619
1066,503318
1067,503238
1068,502323
1069,501936
1070,501894
1071,501665
1072,501303
1073,501288
1074,501280
1075,501178
1076,501094
1077,501078
1078,499964
1079,498873
1080,497762
1081,497598
1082,497234
1083,495842
1084,495344
1085,494683
1086,494442
1087,494441
1088,493968
1089,493946
1090,493799
1091,492880
1092,492089
1093,491724
1094,491303
1095,490072
1096,489903
1097,489328
1098,489305
1099,489068
1100,488819
1101,488715
1102,488387
1103,488023
1104,487303
1105,486776
1106,486767
1107,486559
1108,485973
1109,485679
1110,485472
1111,485087
1112,484903
1113,484812
1114,484624
1115,483658
1116,482609
1117,482460
1118,482045
1119,481012
1120,480543
1121,479878
1122,479240
1123,478600
1124,478177
1125,477767
1126,477672
1127,477113
1128,477023
1129,476632
1130,476431
1131,476131
1132,475960
1133,475198
1134,474712
1135,474187
1136,473228
1137,472832
1138,471682
1139,471646
1140,471211
1141,470152
1142,469230
1143,468613
1144,468125
1145,468101
1146,467491
1147,467302
1148,466954
1149,466930
1150,466456
1151,466203
1152,466133
1153,465944
1154,465142
1155,465110
1156,464647
1157,464481
1158,463525
1159,463523
1160,463257
1161,462757
1162,462358
1163,461407
1164,461404
1165,461303
1166,461196
1167,460481
1168,459523
1169,458433
1170,458264
1171,457972
1172,457666
1173,457077
1174,456441
1175,456267
1176,456199
1177,455450
1178,455304
1179,454846
1180,454334
1181,453798
1182,453255
1183,452940
1184,452497
1185,452061
1186,451807
1187,451682
1188,450973
1189,449011
1190,448606
1191,447867
1192,447742
1193,447651
1194,447446
1195,447375
1196,446999
1197,446746
1198,446690
1199,446408
1200,446250
1201,445576
1202,445026
1203,444824
1204,444664
1205,444577
1206,443697
1207,443504
1208,443442
1209,443428
1210,443111
1211,442535
1212,442491
1213,441830
1214,441470
1215,441292
1216,441158
1217,440983
1218,440268
1219,440238
1220,440122
1221,440071
1222,439821
1223,439317
1224,438948
1225,438219
1226,437825
1227,437742
1228,437550
1229,437091
1230,436764
1231,436621
1232,436232
1233,435353
1234,435325
1235,434690
1236,434237
1237,434120
1238,434082
1239,433048
1240,432508
1241,432260
1242,432085
1243,431836
1244,430934
1245,430709
1246,429906
1247,429215
1248,428289
1249,428210
1250,427530
1251,427259
1252,426873
1253,426699
1254,426410
1255,426410
1256,425951
1257,424256
1258,424012
1259,423671
1260,422883
1261,422845
1262,422815
1263,422798
1264,422603
1265,421293
1266,420719
1267,420594
1268,419987
1269,419443
1270,419227
1271,418996
1272,418944
1273,418887
1274,418795
1275,418347
1276,418147
1277,418003
1278,417430
1279,417380
1280,417342
1281,415715
1282,415546
1283,415411
1284,415232
1285,415172
1286,415157
1287,415078
1288,414837
1289,414037
1290,413895
1291,413862
1292,413795
1293,413629
1294,413012
1295,412502
1296,412486
1297,412389
1298,411969
1299,411799
1300,411286
1301,410873
1302,410816
1303,409670
1304,409320
1305,408658
1306,407415
1307,407176
1308,407158
1309,406797
1310,406566
1311,406419
1312,405976
1313,405876
1314,405592
1315,405486
1316,405210
1317,404725
1318,404100
1319,404092
1320,403484
1321,403178
1322,403045
1323,402658
1324,402440
1325,402405
1326,402381
1327,402237
1328,402193
1329,401947
1330,401685
1331,401423
1332,401368
1333,401345
1334,401201
1335,400921
1336,400741
1337,400466
1338,400186
1339,399613
1340,398869
1341,398445
1342,398323
1343,398160
1344,398058
1345,397756
1346,397375
1347,397347
1348,397208
1349,396882
1350,396766
1351,396277
1352,396191
1353,395456
1354,395403
